,Ubicazione,Circoscrizione,Provincia,Municipio,Full Address,Latitude,Longitude,Community ID Coaliione 1,Community ID Coaliione 2,Community ID Coaliione 3,Quartiere,Media Voti Coal 1,Media Voti Coal 2,Media Voti Coal 3,Popolazione residente totale,Indice di vecchiaia,Incidenza dei giovani fino a 24 anni,Indice di non completamento del ciclo di scuola secondaria di primo grado,Indice di adulti con diploma o titolo terziario,Tasso di occupazione (20-64 anni),Tasso di disoccupazione (15 anni e più),Incidenza dei giovani che non studiano e non lavorano,Incidenza delle famiglie con potenziale disagio economico,Tasso di alloggi impropri,"Incidenza percentuale della popolazione di 67 anni  e oltre che vive da sola, senza casa di proprietà ",Percentuale di famiglie che non vivono in abitazione di proprietà,"Incidenza percentuale di lavoratori precari  35-64 anni che hanno un rapporto di lavoro dipendente di tipo ""interinale"" o ""occasionale"" sul totale degli occupati 35-64 anni","Uscita precoce dal sistema di istruzione (18-24 anni, totale) ",Indice di affollamento delle abitazioni occupate,Ospedali con pronto soccorso
87,PIAZZA BALENZANO N. 13 (canc) - scuola materna REGINA MARGHERITA,VII - Madonnella,1,1,PIAZZA BALENZANO N. 13 (canc) ,4111.93969034204,1687.58926544436,3,1,0,Madonnella,0.7615062761506276,0.2852664576802508,0.4205128205128205,10959,212.22672064777325,20.293822429053744,5.742102125968607,65.37455021262676,61.01874244256348,11.123368647835589,25.557011795543904,2.6638558834802604,0.19485580670303976,11.216566005176878,38.060559601379836,1.0999083409715857,14.992721979621543,0.4160751087703229,0
88,VIA ZANARDELLI N. 16 -scuola media- LATERZA,VI - Carrassi – San Pasquale,10,2,VIA ZANARDELLI N. 16 ,4111.19117559538,1687.54291562915,3,3,0,San Pasquale,1.02510460251046,0.2852664576802508,0.4153846153846154,19726,269.4798822374877,19.547804927506842,3.7827582117870273,75.42879167469647,63.91569999114496,9.829645259089935,17.65746638358103,1.8077601410934743,0.12308380888441312,7.174706120794487,25.451940035273367,1.1478260869565218,8.009331259720062,0.37562747497326304,2
89,VIA ZANARDELLI N. 16 -scuola media- LATERZA,VI - Carrassi – San Pasquale,10,2,VIA ZANARDELLI N. 16 ,4111.197642305379,1687.52360372535,3,3,1,San Pasquale,0.6861924686192469,0.3197492163009404,0.3948717948717949,19726,269.4798822374877,19.547804927506842,3.7827582117870273,75.42879167469647,63.91569999114496,9.829645259089935,17.65746638358103,1.8077601410934743,0.12308380888441312,7.174706120794487,25.451940035273367,1.1478260869565218,8.009331259720062,0.37562747497326304,2
90,VIA ZANARDELLI N. 16 -scuola media- LATERZA,VI - Carrassi – San Pasquale,10,2,VIA ZANARDELLI N. 16 ,4111.197642305379,1687.52360372535,3,1,0,San Pasquale,0.6527196652719666,0.1598746081504702,0.441025641025641,19726,269.4798822374877,19.547804927506842,3.7827582117870273,75.42879167469647,63.91569999114496,9.829645259089935,17.65746638358103,1.8077601410934743,0.12308380888441312,7.174706120794487,25.451940035273367,1.1478260869565218,8.009331259720062,0.37562747497326304,2
91,CORSO A. DE GASPERI N. 345 -edif. scuola elementare-,VI - Carrassi – San Pasquale,9,2,CORSO A. DE GASPERI N. 345 ,4108.00580784975,1687.29289660875,4,3,0,Carrassi,0.7698744769874477,0.3542319749216301,0.4871794871794872,32789,283.00418910831837,18.859983531062248,2.721876357318662,75.48259170700415,63.02773456359637,10.12816926031677,18.72492197949175,2.063983488132095,0.17713048612477858,8.490235060226874,24.554953560371516,1.1759675005345307,8.116084604033448,0.3846770769448507,0
92,CORSO A. DE GASPERI N. 345 -edif. scuola elementare-,VI - Carrassi – San Pasquale,9,2,CORSO A. DE GASPERI N. 345 ,4108.00580784975,1687.29289660875,5,0,2,Carrassi,0.9205020920502092,0.1943573667711599,0.3025641025641025,32789,283.00418910831837,18.859983531062248,2.721876357318662,75.48259170700415,63.02773456359637,10.12816926031677,18.72492197949175,2.063983488132095,0.17713048612477858,8.490235060226874,24.554953560371516,1.1759675005345307,8.116084604033448,0.3846770769448507,0
93,CORSO A. DE GASPERI N. 345 -edif. scuola elementare-,VI - Carrassi – San Pasquale,9,2,CORSO A. DE GASPERI N. 345 ,4108.00580784975,1687.29289660875,5,3,0,Carrassi,0.8200836820083682,0.2695924764890282,0.5128205128205128,32789,283.00418910831837,18.859983531062248,2.721876357318662,75.48259170700415,63.02773456359637,10.12816926031677,18.72492197949175,2.063983488132095,0.17713048612477858,8.490235060226874,24.554953560371516,1.1759675005345307,8.116084604033448,0.3846770769448507,0
94,CORSO DE GASPERI N.345 -edificio scuola elementare-,VI - Carrassi – San Pasquale,9,2,CORSO DE GASPERI N.345 ,4108.00580784975,1687.29289660875,5,3,1,Carrassi,0.9372384937238494,0.1818181818181818,0.4051282051282051,32789,283.00418910831837,18.859983531062248,2.721876357318662,75.48259170700415,63.02773456359637,10.12816926031677,18.72492197949175,2.063983488132095,0.17713048612477858,8.490235060226874,24.554953560371516,1.1759675005345307,8.116084604033448,0.3846770769448507,0
95,CORSO DE GASPERI N.345 -edificio scuola elementare-,VI - Carrassi – San Pasquale,9,2,CORSO DE GASPERI N.345 ,4108.00580784975,1687.29289660875,4,3,0,Carrassi,0.6861924686192469,0.2821316614420062,0.3384615384615385,32789,283.00418910831837,18.859983531062248,2.721876357318662,75.48259170700415,63.02773456359637,10.12816926031677,18.72492197949175,2.063983488132095,0.17713048612477858,8.490235060226874,24.554953560371516,1.1759675005345307,8.116084604033448,0.3846770769448507,0
96,CORSO A. DE GASPERI N. 515/A  -OPERA NAZION. PENSIONATI D'ITALIA-,IV - Carbonara – Ceglie del Campo – Loseto,7,4,CORSO A. DE GASPERI N. 515/A  ,4108.00580784975,1687.29289660875,6,3,3,Carbonara,1.146443514644351,0.5141065830721003,0.5846153846153846,23971,210.1002865329513,21.5552125484961,4.296545914069082,63.433297263873854,58.961663601640964,11.620013440092473,22.234513274336283,2.755040926332601,0.09094583670169765,8.617041738795923,35.51607107207027,1.4911606456571869,12.956419316843345,0.44778362133734034,1
97,CORSO CAVOUR N. 249 -istituto tecnico- PITAGORA,IX - Murat – San Nicola,1,1,CORSO CAVOUR N. 249 ,4111.878549218391,1687.2555381431,3,1,0,Murat,0.8493723849372385,0.3824451410658307,0.441025641025641,23141,248.22415153906866,20.007778401970526,5.034095467308464,76.6876687668767,64.81258467559837,9.724664814101507,19.07996295152825,2.3231712583124624,0.26366672525927226,9.985959985959985,30.693496847741603,0.6982046166999145,11.708645336963922,0.3520652040691261,0
98,CORSO CAVOUR N. 249 -istituto tecnico- PITAGORA,IX - Murat – San Nicola,1,1,CORSO CAVOUR N. 249 ,4111.878549218391,1687.2555381431,3,1,0,Murat,1.02928870292887,0.6394984326018809,0.6923076923076923,23141,248.22415153906866,20.007778401970526,5.034095467308464,76.6876687668767,64.81258467559837,9.724664814101507,19.07996295152825,2.3231712583124624,0.26366672525927226,9.985959985959985,30.693496847741603,0.6982046166999145,11.708645336963922,0.3520652040691261,0
99,CORSO CAVOUR N. 249 -istituto tecnico- PITAGORA,IX - Murat – San Nicola,1,1,CORSO CAVOUR N. 249 ,4111.878549218391,1687.2555381431,3,1,0,Murat,0.8744769874476988,0.5642633228840125,0.6871794871794872,23141,248.22415153906866,20.007778401970526,5.034095467308464,76.6876687668767,64.81258467559837,9.724664814101507,19.07996295152825,2.3231712583124624,0.26366672525927226,9.985959985959985,30.693496847741603,0.6982046166999145,11.708645336963922,0.3520652040691261,0
100,CARBONARA-VIA N. COLONNA N. 1 -scuola media-,IV - Carbonara – Ceglie del Campo – Loseto,7,4,VIA N. COLONNA N. 1 ,4107.8152221973,1687.23807832772,6,3,3,Carbonara,0.8117154811715481,0.2539184952978056,0.3435897435897436,23971,210.1002865329513,21.5552125484961,4.296545914069082,63.433297263873854,58.961663601640964,11.620013440092473,22.234513274336283,2.755040926332601,0.09094583670169765,8.617041738795923,35.51607107207027,1.4911606456571869,12.956419316843345,0.44778362133734034,1
101,CARBONARA-VIA N. COLONNA N. 1 -scuola media-,IV - Carbonara – Ceglie del Campo – Loseto,7,4,VIA N. COLONNA N. 1 ,4107.8152221973,1687.23807832772,6,3,3,Carbonara,1.083682008368201,0.2946708463949843,0.4564102564102564,23971,210.1002865329513,21.5552125484961,4.296545914069082,63.433297263873854,58.961663601640964,11.620013440092473,22.234513274336283,2.755040926332601,0.09094583670169765,8.617041738795923,35.51607107207027,1.4911606456571869,12.956419316843345,0.44778362133734034,1
102,CORSO B. CROCE N. 96 -edificio scolastico DEL PRETE,VI - Carrassi – San Pasquale,10,2,CORSO B. CROCE N. 96 ,4111.14565900879,1687.22323967724,3,1,0,Carrassi,0.8535564853556485,0.2946708463949843,0.3641025641025641,32789,283.00418910831837,18.859983531062248,2.721876357318662,75.48259170700415,63.02773456359637,10.12816926031677,18.72492197949175,2.063983488132095,0.17713048612477858,8.490235060226874,24.554953560371516,1.1759675005345307,8.116084604033448,0.3846770769448507,0
103,CORSO B. CROCE N. 130/C -scuola materna V. VENETO,VI - Carrassi – San Pasquale,10,2,CORSO B. CROCE N. 130/C ,4111.156167482151,1687.21680237597,1,1,2,Carrassi,0.8200836820083682,0.1786833855799373,0.3076923076923077,32789,283.00418910831837,18.859983531062248,2.721876357318662,75.48259170700415,63.02773456359637,10.12816926031677,18.72492197949175,2.063983488132095,0.17713048612477858,8.490235060226874,24.554953560371516,1.1759675005345307,8.116084604033448,0.3846770769448507,0
104,CORSO B. CROCE N. 130/C -scuola materna V. VENETO,VI - Carrassi – San Pasquale,10,2,CORSO B. CROCE N. 130/C ,4111.156167482151,1687.21680237597,5,1,0,Carrassi,0.9121338912133892,0.1504702194357367,0.3897435897435897,32789,283.00418910831837,18.859983531062248,2.721876357318662,75.48259170700415,63.02773456359637,10.12816926031677,18.72492197949175,2.063983488132095,0.17713048612477858,8.490235060226874,24.554953560371516,1.1759675005345307,8.116084604033448,0.3846770769448507,0
105,CORSO B. CROCE N. 96 -edificio scolastico DEL PRETE,VI - Carrassi – San Pasquale,10,2,CORSO B. CROCE N. 96 ,4111.156167482151,1687.21680237597,4,0,0,Carrassi,0.6736401673640168,0.3197492163009404,0.6410256410256411,32789,283.00418910831837,18.859983531062248,2.721876357318662,75.48259170700415,63.02773456359637,10.12816926031677,18.72492197949175,2.063983488132095,0.17713048612477858,8.490235060226874,24.554953560371516,1.1759675005345307,8.116084604033448,0.3846770769448507,0
