Candidato,Voti,Lista,COALIZIONE
GIODICE-SABBATELLI VENANZIA,106,LAFORGIA SINDACO,3
FRAPPAMPINA VINCENZO,106,PROGETTO BARI CON LECCESE,1
MASSARI SAVERIO,105,BARI BENE COMUNE,3
PICCOLI ANNALAURA ASSUNTA,104,ROMITO SINDACO,2
MASSAFRA LOREDANA,104,BARI CITTA' D'EUROPA,3
CARDONE CLARA,102,ROMITO SINDACO,2
TARANTINI MINA,102,ROMITO SINDACO,2
GAMBACORTA MICHELE,102,NOI MODERATI,2
FIORENTINO ANNA,101,BARI BENE COMUNE,3
SIFANNO MARIA,101,NOI MODERATI,2
OLIVA NICOLA,100,LAFORGIA SINDACO,3
MANGIALARDI ALESSANDRO,100,GENERAZIONE URBANA,3
CITARELLA ANTONIA,98,CON LECCESE SINDACO,1
LAPICIRELLA GIULIANO,98,LECCESE SINDACO,1
FIORENTINO IRENE,97,CON LECCESE SINDACO,1
BELLOMO CECILIA,97,FORZA ITALIA,2
LOMBARDI EUGENIO,96,M5S,3
SFORZA RAFFAELE,95,LAFORGIA SINDACO,3
CASALINO VINCENZO,95,PROGETTO BARI CON LECCESE,1
AUTERI ELENA,93,FDI,2
BRUNI CARLO,92,BARI BENE COMUNE,3
GIRONE ANNALISA,91,BARI X FABIO ROMITO,2
MARTINO ANDREA,90,BARI BENE COMUNE,3
FORTUNA IMMACOLATA,89,ROMITO SINDACO,2
MERCOLEDISANTO GIUSEPPE,89,FORZA ITALIA,2
CANGIALOSI BARBARA,88,CON LECCESE SINDACO,1
BRAMANTE ANTONIO,88,EUROPA VERDE - VERDI,1
ZAHRA MAMUN,87,LECCESE SINDACO,1
GLORIOSO MARIA,87,BARI X FABIO ROMITO,2
CAMPOBASSO GERMANO,86,FDI,2
MONNO LUIGI,85,ROMITO SINDACO,2
PELLICANI STEFANO,83,LAFORGIA SINDACO,3
SISTO INES,83,UDC - PRIMA L'ITALIA PER ROMITO SINDACO,2
DE TOMA LUIGI,83,PROGETTO BARI CON LECCESE,1
BATTISTA VITO,82,PD,1
DE LUCA GIUSEPPE,81,ROMITO SINDACO,2
ABBRESCIA LUCIA,80,M5S,3
D'ORAZIO CARMELA MARIA PATRIZIA,80,LECCESE SINDACO,1
BISCOTTI NICOLA,80,UDC - PRIMA L'ITALIA PER ROMITO SINDACO,2
MARZULLI ANTONIA,79,FDI,2
PESCE GINA LILIA,79,CON LECCESE SINDACO,1
TRAVERSA LUCA,79,GENERAZIONE URBANA,3
D'ADDABBO LUCA,78,ROMITO SINDACO,2
DE SIANO ANGELO GIUSEPPE,78,PROGETTO BARI CON LECCESE,1
BALICE IVANA,77,LECCESE SINDACO,1
CAVALLO CLAUDIA,77,GENERAZIONE URBANA,3
CASADIBARI SAMANTHA,76,CON LECCESE SINDACO,1
D'ABBICCO FRANCESCO,75,CON LECCESE SINDACO,1
RUSCELLI ROSSANA,75,BARI BENE COMUNE,3
ALFONSO VITO,74,LAFORGIA SINDACO,3
FAVIA ROSA ANNA,74,LAFORGIA SINDACO,3
GERNONE SIMONA,74,AGORA',2
TRIDENTE ROSANNA,73,DECARO PER BARI,1
RAGONE ANTONIETTA,72,CON LECCESE SINDACO,1
PACIFICO ROBERTA,72,FORZA ITALIA,2
COSTANZA NICOLA,72,GENERAZIONE URBANA,3
VISCIGLIA MARIO,72,LIBERALI E RIFORMISTI - nPSI,2
GIORDANO GIUSEPPE,71,FDI,2
ANNOSCIA IMMACOLATA,71,PROGETTO BARI CON LECCESE,1
CARRASSI SAMANTHA,71,NOI MODERATI,2
IANDOLO CARMINE,70,ROMITO SINDACO,2
LORENZELLI GINO,70,LAFORGIA SINDACO,3
CERNO' VALENTINA,70,NOI POPOLARI,1
COLUCCI ROSANGELA,68,ROMITO SINDACO,2
MELE MARILENA STEFANIA,68,LECCESE SINDACO,1
ANTONINO NUNZIA,68,BARI BENE COMUNE,3
RUVOLO NICOLA,68,BARI CITTA' D'EUROPA,3
QUARTO NICOLA,68,BARI X FABIO ROMITO,2
ALESSANDRINO MARIA,67,M5S,3
RANIERI FRANCESCO,67,M5S,3
MODUGNO MARCO,67,BARI BENE COMUNE,3
MAGGI NICOLA,67,BARI CITTA' D'EUROPA,3
MASELLI CARMELA,67,NOI MODERATI,2
